State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Year, Program(s), Operating Time, # of Months Reported, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, County, Source Category, Owner, Operator, SO2 Phase, NOx Phase, Operating Status, Unit Type, Fuel Type (Primary), Fuel Type (Secondary), SO2 Control(s), NOx Control(s), PM Control(s), Hg Control(s), Facility Latitude, Facility Longitude
"AL","AMEA Sylacauga Plant","56018","1",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","796.0","12","34808.0",,"0.107","0.076","14.073","21861.9","370296.5","4","SERC","Talladega","Electric Utility","Alabama Municipal Electric Authority","Alabama Municipal Electric Authority","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"33.1661","-86.2825",
"AL","AMEA Sylacauga Plant","56018","2",,"2015","ARP, CSNOX, CSNOXOS, CSSO2G2","762.0","12","33339.0",,"0.102","0.0812","14.476","21087.6","357477.1","4","SERC","Talladega","Electric Utility","Alabama Municipal Electric Authority","Alabama Municipal Electric Authority","Phase 2",,"Operating","Combustion turbine","Pipeline Natural Gas",,,"Water Injection",,,"33.1661","-86.2825",
"AL","Ascend (Decatur Plant)","880041","X015",,"2015","SIPNOX","8601.25","12",,"2019461.25",,"0.3185","428.367",,"2683003.025","4",,"Morgan","Industrial Boiler","Ascend Performance Materials Operations. LLC","Ascend Performance Materials Operations. LLC",,,"Operating","Dry bottom wall-fired boiler","Coal","Process Gas, Waste Liquid",,"Selective Non-catalytic Reduction","Baghouse<br>Electrostatic Precipitator",,"34.6339","-87.0244",
"AL","Ascend (Decatur Plant)","880041","Z005"," CS001","2015","SIPNOX","3680.25","12",,"393125.5",,"0.427","114.74",,"545070.85","4",,"Morgan","Industrial Boiler","Ascend Performance Materials Operations. LLC","Ascend Performance Materials Operations. LLC",,,"Operating","Stoker","Coal",,,"Selective Non-catalytic Reduction","Electrostatic Precipitator",,"34.6339","-87.0244",
"AL","Ascend (Decatur Plant)","880041","Z006"," CS001","2015","SIPNOX","3409.0","12",,"345473.25",,"0.4323","117.181",,"551731.725","4",,"Morgan","Industrial Boiler","Ascend Performance Materials Operations. LLC","Ascend Performance Materials Operations. LLC",,,"Operating","Stoker","Coal",,,"Selective Non-catalytic Reduction","Electrostatic Precipitator",,"34.6339","-87.0244",
"AL","Barry","3","1"," CS0AAN","2015","ARP, CSNOX, CSNOXOS, CSSO2G2","173.75","12","4906.0",,"7.382","0.2715","5.795","3690.456","47638.925","4","SERC","Mobile","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase II Group 1","Operating","Tangentially-fired","Coal, Pipeline Natural Gas","Diesel Oil, Pipeline Natural Gas",,"Low NOx Burner Technology w/ Closed-coupled OFA<br>Selective Non-catalytic Reduction","Electrostatic Precipitator",,"31.0069","-88.0103",
"AL","Barry","3","2"," CS0AAN","2015","ARP, CSNOX, CSNOXOS, CSSO2G2","213.5","12","6452.0",,"7.47","0.2366","6.656","5585.871","79766.5","4","SERC","Mobile","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase II Group 1","Operating","Tangentially-fired","Coal, Pipeline Natural Gas","Diesel Oil, Pipeline Natural Gas",,"Low NOx Burner Technology w/ Closed-coupled OFA<br>Selective Non-catalytic Reduction","Electrostatic Precipitator",,"31.0069","-88.0103",
"AL","Barry","3","3"," CS0AAN","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","752.75","8","101892.25",,"514.712","0.4691","280.428","120647.322","1175890.275","4","SERC","Mobile","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase II Group 1","Operating","Tangentially-fired","Coal","Diesel Oil, Pipeline Natural Gas",,"Low NOx Burner Technology w/ Closed-coupled OFA (Retired Aug 24, 2015)<br>Selective Non-catalytic Reduction (Retired Aug 24, 2015)","Electrostatic Precipitator (Retired Aug 24, 2015)",,"31.0069","-88.0103",
"AL","Barry","3","4",,"2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","7911.25","12","1657559.5",,"7840.915","0.422","3855.531","1751917.05","1.707517995E7","4","SERC","Mobile","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase II Group 1","Operating","Tangentially-fired","Coal","Diesel Oil, Pipeline Natural Gas",,"Low NOx Burner Technology w/ Separated OFA<br>Selective Non-catalytic Reduction","Electrostatic Precipitator",,"31.0069","-88.0103",
"AL","Barry","3","5"," MS5C, MS5D, MS5E","2015","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","5907.0","12","3182460.5",,"302.946","0.0871","1314.966","3163064.175","3.0829063475E7","4","SERC","Mobile","Electric Utility","Alabama Power Company","Alabama Power Company","Phase 2","Phase II Group 1","Operating","Tangentially-fired","Coal","Diesel Oil, Pipeline Natural Gas","Wet Limestone","Low NOx Burner Technology w/ Separated OFA<br>Selective Catalytic Reduction","Electrostatic Precipitator",,"31.0069","-88.0103",
